"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1889","Successful login","Mobile Safari","Thu Jul 10 16:45:46 MSK 2025","passed","Thu Jul 10 16:45:48 MSK 2025","Login tests","","",""
"","2114","Count items","Medium Viewport","Thu Jul 10 16:46:02 MSK 2025","passed","Thu Jul 10 16:46:04 MSK 2025","Catalog","","",""
"","2591","Verify Price (high to low) sorting","firefox","Thu Jul 10 16:45:29 MSK 2025","passed","Thu Jul 10 16:45:31 MSK 2025","Catalog","","",""
"","2232","Attempt to login with empty credentials","firefox","Thu Jul 10 16:45:20 MSK 2025","passed","Thu Jul 10 16:45:22 MSK 2025","Login tests","","",""
"","1454","Verify default sorting","Mobile Safari","Thu Jul 10 16:45:52 MSK 2025","passed","Thu Jul 10 16:45:53 MSK 2025","Catalog","","",""
"","2355","Verify Price (high to low) sorting","Mobile Chrome","Thu Jul 10 16:45:44 MSK 2025","passed","Thu Jul 10 16:45:47 MSK 2025","Catalog","","",""
"","2105","Successful login","firefox","Thu Jul 10 16:45:20 MSK 2025","passed","Thu Jul 10 16:45:22 MSK 2025","Login tests","","",""
"","1442","Verify default sorting","Mobile Chrome","Thu Jul 10 16:45:44 MSK 2025","passed","Thu Jul 10 16:45:46 MSK 2025","Catalog","","",""
"","2112","Attempt to login with empty credentials","Mobile Safari","Thu Jul 10 16:45:46 MSK 2025","passed","Thu Jul 10 16:45:48 MSK 2025","Login tests","","",""
"","2096","Attempt to login with empty username","Mobile Safari","Thu Jul 10 16:45:47 MSK 2025","passed","Thu Jul 10 16:45:49 MSK 2025","Login tests","","",""
"","2381","Verify Price (low to high) sorting","Mobile Chrome","Thu Jul 10 16:45:44 MSK 2025","passed","Thu Jul 10 16:45:47 MSK 2025","Catalog","","",""
"","1351","Attempt to login with empty username","Medium Viewport","Thu Jul 10 16:46:00 MSK 2025","passed","Thu Jul 10 16:46:01 MSK 2025","Login tests","","",""
"","1315","Successful login","Medium Viewport","Thu Jul 10 16:45:59 MSK 2025","passed","Thu Jul 10 16:46:01 MSK 2025","Login tests","","",""
"","1659","Attempt to login with empty password","chromium","Thu Jul 10 16:45:15 MSK 2025","passed","Thu Jul 10 16:45:16 MSK 2025","Login tests","","",""
"","1429","Attempt to login with empty credentials","Medium Viewport","Thu Jul 10 16:46:00 MSK 2025","passed","Thu Jul 10 16:46:01 MSK 2025","Login tests","","",""
"","1570","Attempt to login with empty credentials","Mobile Chrome","Thu Jul 10 16:45:40 MSK 2025","passed","Thu Jul 10 16:45:41 MSK 2025","Login tests","","",""
"","2477","Attempt to login with empty password","firefox","Thu Jul 10 16:45:21 MSK 2025","passed","Thu Jul 10 16:45:24 MSK 2025","Login tests","","",""
"","1330","Add product and verify in cart","Small Viewport","Thu Jul 10 16:45:56 MSK 2025","passed","Thu Jul 10 16:45:57 MSK 2025","Cart","","",""
"","2008","Add multy items in cart","Medium Viewport","Thu Jul 10 16:46:01 MSK 2025","passed","Thu Jul 10 16:46:03 MSK 2025","Cart","","",""
"","1413","Count items","chromium","Thu Jul 10 16:45:17 MSK 2025","passed","Thu Jul 10 16:45:18 MSK 2025","Catalog","","",""
"","3568","Verify Name (Z to A) sorting","webkit","Thu Jul 10 16:45:36 MSK 2025","passed","Thu Jul 10 16:45:40 MSK 2025","Catalog","","",""
"","1117","Verify default sorting","Medium Viewport","Thu Jul 10 16:46:03 MSK 2025","passed","Thu Jul 10 16:46:05 MSK 2025","Catalog","","",""
"","2069","Verify Name (A to Z) sorting","Medium Viewport","Thu Jul 10 16:46:02 MSK 2025","passed","Thu Jul 10 16:46:04 MSK 2025","Catalog","","",""
"","2505","Verify Name (Z to A) sorting","Mobile Chrome","Thu Jul 10 16:45:44 MSK 2025","passed","Thu Jul 10 16:45:46 MSK 2025","Catalog","","",""
"","2582","Successful logout","Medium Viewport","Thu Jul 10 16:46:00 MSK 2025","passed","Thu Jul 10 16:46:03 MSK 2025","Logout Tests","","",""
"","1987","Attempt to login with empty password","Mobile Safari","Thu Jul 10 16:45:48 MSK 2025","passed","Thu Jul 10 16:45:50 MSK 2025","Login tests","","",""
"","2022","Verify Name (Z to A) sorting","chromium","Thu Jul 10 16:45:18 MSK 2025","passed","Thu Jul 10 16:45:20 MSK 2025","Catalog","","",""
"","3320","Verify Price (low to high) sorting","webkit","Thu Jul 10 16:45:37 MSK 2025","passed","Thu Jul 10 16:45:40 MSK 2025","Catalog","","",""
"","1997","Add product from the product details page","firefox","Thu Jul 10 16:45:24 MSK 2025","passed","Thu Jul 10 16:45:26 MSK 2025","Cart","","",""
"","1948","Add product and verify in cart","chromium","Thu Jul 10 16:45:15 MSK 2025","passed","Thu Jul 10 16:45:17 MSK 2025","Cart","","",""
"","2205","Add multy items in cart","firefox","Thu Jul 10 16:45:24 MSK 2025","passed","Thu Jul 10 16:45:27 MSK 2025","Cart","","",""
"","1874","Add and remove product from cart","Medium Viewport","Thu Jul 10 16:46:01 MSK 2025","passed","Thu Jul 10 16:46:03 MSK 2025","Cart","","",""
"","990","Attempt to login with empty password","Small Viewport","Thu Jul 10 16:45:54 MSK 2025","passed","Thu Jul 10 16:45:55 MSK 2025","Login tests","","",""
"","2137","Verify Price (high to low) sorting","Medium Viewport","Thu Jul 10 16:46:03 MSK 2025","passed","Thu Jul 10 16:46:05 MSK 2025","Catalog","","",""
"","907","Verify default sorting","Small Viewport","Thu Jul 10 16:45:58 MSK 2025","passed","Thu Jul 10 16:45:59 MSK 2025","Catalog","","",""
"","1726","Add and remove product from cart","chromium","Thu Jul 10 16:45:17 MSK 2025","passed","Thu Jul 10 16:45:18 MSK 2025","Cart","","",""
"","3531","Verify Name (Z to A) sorting","Mobile Safari","Thu Jul 10 16:45:51 MSK 2025","passed","Thu Jul 10 16:45:54 MSK 2025","Catalog","","",""
"","2062","Verify Price (high to low) sorting","chromium","Thu Jul 10 16:45:18 MSK 2025","passed","Thu Jul 10 16:45:20 MSK 2025","Catalog","","",""
"","3463","Successful logout","webkit","Thu Jul 10 16:45:32 MSK 2025","passed","Thu Jul 10 16:45:36 MSK 2025","Logout Tests","","",""
"","1936","Verify Price (high to low) sorting","Small Viewport","Thu Jul 10 16:45:57 MSK 2025","passed","Thu Jul 10 16:45:59 MSK 2025","Catalog","","",""
"","3434","Verify Name (A to Z) sorting","webkit","Thu Jul 10 16:45:36 MSK 2025","passed","Thu Jul 10 16:45:39 MSK 2025","Catalog","","",""
"","2127","Verify Price (low to high) sorting","Medium Viewport","Thu Jul 10 16:46:03 MSK 2025","passed","Thu Jul 10 16:46:05 MSK 2025","Catalog","","",""
"","3141","Add product and verify in cart","webkit","Thu Jul 10 16:45:33 MSK 2025","passed","Thu Jul 10 16:45:36 MSK 2025","Cart","","",""
"","1383","Attempt to login with empty password","Medium Viewport","Thu Jul 10 16:46:00 MSK 2025","passed","Thu Jul 10 16:46:01 MSK 2025","Login tests","","",""
"","2555","Verify Name (A to Z) sorting","firefox","Thu Jul 10 16:45:26 MSK 2025","passed","Thu Jul 10 16:45:29 MSK 2025","Catalog","","",""
"","2076","Verify Price (low to high) sorting","chromium","Thu Jul 10 16:45:18 MSK 2025","passed","Thu Jul 10 16:45:20 MSK 2025","Catalog","","",""
"","1457","Successful login","Mobile Chrome","Thu Jul 10 16:45:39 MSK 2025","passed","Thu Jul 10 16:45:40 MSK 2025","Login tests","","",""
